time,Ct
0.04,0.05346166007020408
0.08,0.08775076885632652
0.12,0.08645447348408163
0.16,0.08536245037469388
0.2,0.08447295741061224
0.24,0.0838189627910204
0.28,0.08334932305061224
0.32,0.08307120343102041
0.36,0.08295264477306122
0.4,0.08297447955755101
0.44,0.0830866491265306
0.48,0.08328546369142857
0.52,0.08352789208816326
0.56,0.08380180888979591
0.6,0.08408702542285713
0.64,0.08440057604734694
0.68,0.0847041157755102
0.72,0.08500811779428571
0.76,0.08531897813469387
0.8,0.08561935160816325
0.84,0.08590576473877551
0.88,0.08621068441795918
0.92,0.08647968298857142
0.96,0.08675275733306122
1.0,0.08701588349306122
1.04,0.08727052666122448
1.08,0.0875002454865306
1.12,0.08772253105632652
1.16,0.08791487499999999
1.2,0.08807295834122449
1.24,0.08821060406367345
1.28,0.0882712189877551
1.32,0.0882996617877551
1.36,0.08824362372
1.4,0.0881061356432653
1.44,0.08787769010693877
1.48,0.08756789612653061
1.52,0.08715423726775509
1.56,0.08665909406204081
1.6,0.08609639418040815
1.64,0.08550905613632653
1.68,0.08488317580163265
1.72,0.08431694820244898
1.76,0.0837812238742857
1.8,0.08332451522285714
1.84,0.0829539021910204
1.88,0.08268524179673468
1.92,0.08248903510938775
1.96,0.08237269751836734
2.0,0.0823130599110204
2.04,0.08232503092244897
2.08,0.08234470118938775
2.12,0.08242805305142857
2.16,0.08250450298693877
2.2,0.08261054212244896
2.24,0.08271058007591836
2.28,0.08282458516081632
2.32,0.08294666073224488
2.36,0.08305179509795917
2.4,0.08316539514938776
2.44,0.08326004206367348
2.48,0.08336654639020408
2.52,0.08345625105632652
2.56,0.08354563979346938
2.6,0.08363230029714286
2.64,0.08369730262530611
2.68,0.0837625888310204
2.72,0.08381550302857142
2.76,0.08385559562938776
2.8,0.08387929609306122
2.84,0.08388628313387754
2.88,0.0838906897232653
2.92,0.08386135602285713
2.96,0.08384099303918367
3.0,0.08377681427918367
3.04,0.08370909568734694
3.08,0.08360945952571427
3.12,0.08350803533714285
3.16,0.08338993758122448
3.2,0.08325685088571429
3.24,0.08312003961387754
3.28,0.08297883133061223
3.32,0.08284144604734693
3.36,0.08272424067755102
3.4,0.08260576855428571
3.44,0.08250250640979592
3.48,0.08241770382204082
3.52,0.08234727356244897
3.56,0.08230179608163264
3.6,0.08225607774530612
3.64,0.08223065703428571
3.68,0.08221839358285714
3.72,0.08220784953632652
3.76,0.08222681171836733
3.8,0.08222578488489796
3.84,0.08225051844571428
3.88,0.08226410870530612
3.92,0.08228428568
3.96,0.08230815187183672
4.0,0.08233144851346938
4.04,0.08234909137632652
4.08,0.08236348879020408
4.12,0.08240112888979591
4.16,0.08239486455999999
4.2,0.08242452471673468
4.24,0.08243121268408163
4.28,0.08243591478857142
4.32,0.08243540687673469
4.36,0.08243912458857143
4.4,0.08243823403591836
4.44,0.08243211021142856
4.48,0.0824174928955102
4.52,0.08239406187836734
4.56,0.08238547406448979
4.6,0.08235389423510203
4.64,0.0823360618244898
4.68,0.08230561617142856
4.72,0.08227357622530611
4.76,0.08223301624
4.8,0.08220327900408163
4.84,0.08216227193795918
4.88,0.08212458957306122
4.92,0.08208720998938775
4.96,0.08205409243265306
5.0,0.08201721529877551
5.04,0.0819962314122449
5.08,0.08196558014857142
5.12,0.08193812831265306
5.16,0.08191575823183674
5.2,0.08191320961714285
5.24,0.08189449769632652
5.28,0.08188474548408163
5.32,0.08187117029551019
5.36,0.0818657553355102
5.4,0.08185441053714285
5.44,0.08186430806938774
5.48,0.08186399357387754
5.52,0.08186454597387754
5.56,0.08186036666693877
5.6,0.0818665085910204
5.64,0.08186641362122449
5.68,0.08185702911836734
5.72,0.08185987382285714
5.76,0.08186182678938775
5.8,0.08184405553061225
5.84,0.08185359576081631
5.88,0.0818373938277551
5.92,0.08183450120571428
5.96,0.08181965551346938
6.0,0.08180801916489795
6.04,0.08179408151918366
6.08,0.08178224606693878
6.12,0.08176404179020408
6.16,0.08173827606285713
6.2,0.08174550268
6.24,0.08170212253795918
6.28,0.08169486889714285
6.32,0.08166965454693877
6.36,0.08164589146448979
6.4,0.08161763418375509
6.44,0.081605469672
6.48,0.08158396905673468
6.52,0.08155863887363266
6.56,0.08153459541004081
6.6,0.08152793340457141
6.64,0.0814919217362449
6.68,0.08148899703281631
6.72,0.0814699508312653
6.76,0.08145362269640816
6.8,0.08143546962155102
6.84,0.08143064334595917
6.88,0.08141545374008162
6.92,0.08140556176016327
6.96,0.08139066410710204
7.0,0.08139479575689795
7.04,0.0813644694609796
7.08,0.08137358638791836
7.12,0.08135338147510204
7.16,0.08134820803314284
7.2,0.08133154652563264
7.24,0.08132178297844898
7.28,0.08132063276497958
7.32,0.08130405571306122
7.36,0.08129317841167345
7.4,0.08126914246661224
7.44,0.08126326335918366
7.48,0.08123921572293877
7.52,0.0812296004797551
7.56,0.08121841560946938
7.6,0.08119345136048979
7.64,0.08117653324179591
7.68,0.08116011917559184
7.72,0.0811371267447347
7.76,0.08111418010212244
7.8,0.08108761516040816
7.84,0.08107109602995918
7.88,0.08104394563583672
7.92,0.0810344817635102
7.96,0.08100424759265305
8.0,0.0809874491395102
8.04,0.08095828569371429
8.08,0.08094003617248978
8.12,0.08091906222489795
8.16,0.08089700156293876
8.2,0.08087770726269387
8.24,0.08085485952040815
8.28,0.08083232442171429
8.32,0.08082624481493876
8.36,0.08080546233959182
8.4,0.08078817226848979
8.44,0.08077363741779592
8.48,0.08075743588946939
8.52,0.08075056994693877
8.56,0.080729017204
8.6,0.08071628846008162
8.64,0.08070476487167347
8.68,0.080684331276
8.72,0.08068550353804081
8.76,0.0806614926950204
8.8,0.08065579345820408
8.84,0.08063646052416326
8.88,0.08062137126220408
8.92,0.08060502836791836
8.96,0.08059062514465305
9.0,0.08056909369893876
9.04,0.08054508184408163
9.08,0.08054524804555102
9.12,0.08050379565665305
9.16,0.08050026440644897
9.2,0.08047686266457142
9.24,0.08045426404644897
9.28,0.08042802523991836
9.32,0.08040964048391835
9.36,0.0803881070162449
9.4,0.0803669453917551
9.44,0.08034149741110204
9.48,0.08031073342538775
9.52,0.08029906116081632
9.56,0.0802667861072653
9.6,0.08025263633722449
9.64,0.08022959316571428
9.68,0.08020844338065306
9.72,0.0801808136392653
9.76,0.08016545807232653
9.8,0.08014011317061223
9.84,0.080120898224
9.88,0.0801007942955102
9.92,0.08008294821526529
9.96,0.08006126421959184
10.0,0.08005184392783674
10.04,0.08003235345118367
10.08,0.08001307534391836
10.12,0.0799950152157551
10.16,0.07999179125967346
10.2,0.07997106689183674
10.24,0.07995742247763264
10.28,0.07993735090179592
10.32,0.079922255756
10.36,0.07989883004359183
10.4,0.07989695319697959
10.44,0.07988177123779591
10.48,0.07986694816612244
10.52,0.07984710782742857
10.56,0.07983496902261224
10.6,0.07981695738636735
10.64,0.07979172691918367
10.68,0.07977692559542857
10.72,0.07976227174057142
10.76,0.07973021107746939
10.8,0.07972328767583674
10.84,0.07969519893004082
10.88,0.07968009062751019
10.92,0.07965465030514285
10.96,0.07963385441885715
11.0,0.07961110386571428
11.04,0.07959088004489795
11.08,0.07956667519640816
11.12,0.07953669848857142
11.16,0.07953836221787754
11.2,0.07949350061689796
11.24,0.07948391687224489
11.28,0.07945913316873468
11.32,0.0794369567757551
11.36,0.07940955293118367
11.4,0.07939751569763265
11.44,0.07937688691167347
11.48,0.07935366054955101
11.52,0.07933207396644898
11.56,0.07932576987771428
11.6,0.0792920730315102
11.64,0.07928869135697958
11.68,0.07926938104293876
11.72,0.07925418000342857
11.76,0.07923511434114285
11.8,0.07922729592791836
11.84,0.07920910389004081
11.88,0.07919545093412245
11.92,0.07917712697257143
11.96,0.07917616912889795
12.0,0.07914168204171428
12.04,0.07914605062873468
12.08,0.07912019182277549
12.12,0.07910938827159184
12.16,0.07908818353836734
12.2,0.07907151837697958
12.24,0.0790630164717551
12.28,0.0790417804185306
12.32,0.07902619206530612
12.36,0.07899802662310204
12.4,0.07898925817118367
12.44,0.07896092187322448
