r,tangential,normal
0.0161291820732,-60.96414455272724,190.83813993685882
0.0483871518443,-124.8091013084917,216.82170334566803
0.0806617450107,-211.55661763410993,257.90314754637836
0.113036979787,-257.659262871302,238.91865644754532
0.145479197198,-207.5390938782075,528.4594757634924
0.177933705604,459.25708090074045,1745.9568250103084
0.210363633223,905.8281482429904,2306.0715621046115
0.242636392805,1280.8021693271244,3075.6945088476414
0.274795814731,1415.891358306259,3693.9278559883633
0.306967502716,1438.235725988669,4157.942786681074
0.339156665901,1434.5787593325506,4591.388025330688
0.371357111483,1432.5888272101165,5033.95525641631
0.403564891943,1442.8919272335227,5532.098620227304
0.43577944958,1485.2373237301654,6166.2294794373465
0.468000576676,1502.1350657927862,6705.915076646728
0.500226089936,1498.349861186041,7165.325343264366
0.532456317764,1518.543027159288,7749.493425289658
0.564691011578,1555.5180164855979,8439.339298083762
0.596927748924,1593.3698366904496,9147.664141091036
0.629166917228,1623.751466409825,9814.980640710635
0.661408987133,1636.0347893335006,10348.328321404753
0.693652862957,1596.186955622313,10461.866713090982
0.725897499348,1588.681119765483,10790.682818419953
0.758143513154,1597.853352973785,11238.95623690321
0.790391559697,1597.7121889102061,11599.22645833229
0.822639877007,1582.3271809914243,11828.666655119385
0.854889191229,1541.1710197673713,11846.975190772211
0.887139986266,1456.455280938157,11514.487874325312
0.919390257298,1288.4286879400884,10503.076125348947
0.951634927232,934.3706928135794,7939.660667760344
0.983876963719,384.18158909803884,3635.7849868160883
