point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
49640,-518.0,0.0,1008.0,-4.111111,0.0,8.0,33.583836,13.724605,1.1529884,-19.85923,-32.430847,-12.571617,0.6330365,3,-513.0,-1.5707963267948966,1008.0,-4.071428571428571,8.0
49641,-546.0,-8.881784e-16,1008.0,-4.3333335,-7.0490355e-18,8.0,33.74634,19.23598,1.1743317,-14.510363,-32.57201,-18.061647,1.2447413,3,-541.0,-1.5707963267948966,1008.0,-4.2936507936507935,8.0
49642,-574.0,0.0,1008.0,-4.5555553,0.0,8.0,33.559772,20.665596,1.1706429,-12.8941765,-32.38913,-19.494953,1.5119193,3,-569.0,-1.5707963267948966,1008.0,-4.515873015873016,8.0
49643,-602.0,1.7763568e-15,1008.0,-4.7777777,1.4098071e-17,8.0,32.599712,25.423721,1.1142311,-7.175991,-31.485481,-24.30949,3.3876143,3,-597.0,-1.5707963267948966,1008.0,-4.738095238095238,8.0
49644,-630.0,0.0,1008.0,-5.0,0.0,8.0,32.84315,40.208313,1.1402397,7.365162,-31.702911,-39.068073,-5.304442,3,-625.0,-1.5707963267948966,1008.0,-4.9603174603174605,8.0
49684,-406.0,0.0,1008.0,-3.2222223,0.0,8.0,33.17375,5.4072323,1.080822,-27.76652,-32.09293,-4.3264103,0.15581392,3,-401.0,-1.5707963267948966,1008.0,-3.1825396825396823,8.0
49685,-434.0,0.0,1008.0,-3.4444444,0.0,8.0,33.098946,5.666996,1.0869484,-27.43195,-32.011997,-4.5800476,0.16696034,3,-429.0,-1.5707963267948966,1008.0,-3.4047619047619047,8.0
49710,-630.0,0.0,619.4228,-5.0,0.0,4.916054,33.80935,16.826397,1.404026,-16.982952,-32.405323,-15.422371,0.90810895,3,-625.0,-1.5707963267948966,619.4228,-4.9603174603174605,4.916054
49711,-630.0,-8.881784e-16,647.17834,-5.0,-7.0490355e-18,5.136336,33.80935,23.252134,1.4073753,-10.557215,-32.401974,-21.844759,2.0691783,3,-625.0,-1.5707963267948966,647.17834,-4.9603174603174605,5.136336
49719,-630.0,-8.881784e-16,674.9339,-5.0,-7.0490355e-18,5.3566184,33.80935,24.953234,1.3798981,-8.856115,-32.42945,-23.573336,2.6618145,3,-625.0,-1.5707963267948966,674.9339,-4.9603174603174605,5.3566184
49755,-630.0,0.0,480.64478,-5.0,0.0,3.814641,31.526487,5.7220054,1.3393135,-25.804482,-30.187174,-4.3826923,0.16984229,3,-625.0,-1.5707963267948966,480.64478,-4.9603174603174605,3.814641
49756,-630.0,0.0,508.4004,-5.0,0.0,4.0349236,33.440952,5.863464,1.4197578,-27.577488,-32.021194,-4.4437065,0.16113529,3,-625.0,-1.5707963267948966,508.4004,-4.9603174603174605,4.0349236
49766,-630.0,0.0,536.156,-5.0,0.0,4.2552066,32.68242,5.7653446,1.3561249,-26.917074,-31.326294,-4.4092197,0.16380754,3,-625.0,-1.5707963267948966,536.156,-4.9603174603174605,4.2552066
53582,-630.0,0.0,341.8661,-5.0,0.0,2.713223,33.80935,7.8748403,1.7058868,-25.93451,-32.103462,-6.168953,0.23786658,3,-625.0,-1.5707963267948966,341.8661,-4.9603174603174605,2.713223
53583,-630.0,0.0,369.62192,-5.0,0.0,2.9335072,31.857222,15.80842,1.5150108,-16.048801,-30.34221,-14.293409,0.8906216,3,-625.0,-1.5707963267948966,369.62192,-4.9603174603174605,2.9335072
