point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
49644,-630.0,0.0,1008.0,-5.0,0.0,8.0,32.84315,40.208313,-0.17299652,7.365162,-33.016148,-40.38131,-5.4827456,1,-625.0,-1.5707963267948966,1008.0,-4.9603174603174605,8.0
49710,-630.0,0.0,619.4228,-5.0,0.0,4.916054,33.80935,16.826397,0.75878143,-16.982952,-33.050568,-16.067616,0.9461026,1,-625.0,-1.5707963267948966,619.4228,-4.9603174603174605,4.916054
49711,-630.0,-8.881784e-16,647.17834,-5.0,-7.0490355e-18,5.136336,33.80935,23.252134,0.74811935,-10.557215,-33.06123,-22.504015,2.1316242,1,-625.0,-1.5707963267948966,647.17834,-4.9603174603174605,5.136336
49719,-630.0,-8.881784e-16,674.9339,-5.0,-7.0490355e-18,5.3566184,33.80935,24.953234,0.7442093,-8.856115,-33.06514,-24.209024,2.7335942,1,-625.0,-1.5707963267948966,674.9339,-4.9603174603174605,5.3566184
53583,-630.0,0.0,369.62192,-5.0,0.0,2.9335072,31.857222,15.80842,1.2449112,-16.048801,-30.61231,-14.563509,0.9074515,1,-625.0,-1.5707963267948966,369.62192,-4.9603174603174605,2.9335072
53593,-630.0,-8.881784e-16,397.3777,-5.0,-7.0490355e-18,3.1537912,31.006351,11.620606,0.74531174,-19.385746,-30.26104,-10.875294,0.5609943,1,-625.0,-1.5707963267948966,397.3777,-4.9603174603174605,3.1537912
55839,-630.0,-1.8593593e-14,144.11209,-5.0,-1.475682e-16,1.1437467,13.20278,6.939229,0.9280691,-6.2635508,-12.274711,-6.01116,0.9597048,1,-625.0,-1.5707963267948961,144.11209,-4.9603174603174605,1.1437467
55983,-626.5,-9.744284e-15,175.337,-4.9722223,-7.7335584e-17,1.3915635,14.3936405,7.1401978,1.0577173,-7.253443,-13.335923,-6.0824804,0.83856463,1,-621.5,-1.5707963267948963,175.337,-4.932539682539683,1.3915635
56123,-626.5,-5.345983e-15,196.15361,-4.9722223,-4.2428436e-17,1.5567747,18.272545,7.9781137,1.4229908,-10.294432,-16.849554,-6.5551224,0.6367639,1,-621.5,-1.5707963267948966,196.15361,-4.932539682539683,1.5567747
56124,-630.0,-2.1592706e-15,196.1536,-5.0,-1.7137068e-17,1.5567746,16.573967,10.18732,1.2561874,-6.386647,-15.31778,-8.931132,1.398407,1,-625.0,-1.5707963267948966,196.1536,-4.9603174603174605,1.5567746
56125,-630.0,-3.2389058e-15,192.68417,-5.0,-2.5705602e-17,1.5292394,11.857492,7.7482743,0.8337498,-4.109218,-11.023743,-6.9145246,1.6826862,1,-625.0,-1.5707963267948966,192.68417,-4.9603174603174605,1.5292394
56192,-630.0,3.7007435e-17,216.97021,-5.0,2.937098e-19,1.7219858,19.035063,8.333984,1.485426,-10.701078,-17.549637,-6.8485584,0.6399877,1,-625.0,-1.5707963267948966,216.97021,-4.9603174603174605,1.7219858
56196,-630.0,1.8503718e-17,223.90907,-5.0,1.468549e-19,1.7770561,15.9963045,8.300032,1.1332922,-7.696273,-14.863012,-7.1667395,0.93119615,1,-625.0,-1.5707963267948966,223.90907,-4.9603174603174605,1.7770561
