loss,mae,rmse,val_loss,val_mae,val_rmse,val_phys_r2,val_phys_mae,val_phys_rmse,val_phys_bias,val_phys_p95_ae,val_phys_p99_ae,val_phys_max_ae,val_negative_pred_pct,val_pred_min,val_pred_max,val_tail_ge_5_count,val_tail_ge_5_mae,val_tail_ge_5_rmse,val_tail_ge_5_r2,val_tail_ge_10_count,val_tail_ge_10_mae,val_tail_ge_10_rmse,val_tail_ge_10_r2,val_tail_ge_15_count,val_tail_ge_15_mae,val_tail_ge_15_rmse,val_tail_ge_15_r2,val_cluster_1_mae,val_cluster_1_r2,val_cluster_2_mae,val_cluster_2_r2,val_cluster_3_mae,val_cluster_3_r2,val_cluster_4_mae,val_cluster_4_r2,val_cluster_5_mae,val_cluster_5_r2,val_cluster_6_mae,val_cluster_6_r2,val_cluster_7_mae,val_cluster_7_r2,val_worst_cluster_mae,val_worst_cluster_id,lr
0.33648401498794556,0.3044435381889343,0.4422549605369568,0.2341853231191635,0.15199235081672668,0.20907948911190033,0.8108409304824773,0.9647534038200343,1.3834810397606412,0.03427521994457569,2.90945482552051,4.549039144515992,15.688270330429077,22.56702224168674,-4.168800234794617,12.091176748275757,7242,1.4307734473044331,1.9475196324931725,0.003136379744996476,895,2.6641290650531317,3.510037330600938,-5.803276930201743,25,7.981801252365113,8.355606202198423,-62.519381613670774,0.6083922734939149,0.8237574344680483,0.6296234622115539,-11.105964173822967,1.2049047711593461,0.7747440824686682,1.267393309418865,0.6821849329083083,1.5237420373836439,0.6822085229870508,0.9184321544467143,0.2826287168735919,0.7842396223753658,-2856343057.2901483,1.5237420373836439,5,0.00015
0.24315954744815826,0.17967046797275543,0.24394488334655762,0.2245560735464096,0.13196991384029388,0.19739387929439545,0.8329320679005696,0.8603534996208942,1.3001880665828083,-0.039174463733253936,2.7765770137309986,4.666937597282232,13.822580814361572,12.769418462789753,-3.4568338990211487,11.61969256401062,7242,1.45714061983486,1.9690713134164934,-0.01904872188206097,895,3.0415006723587417,3.6879364376480837,-6.510373460996732,25,7.870456205904484,8.111012260833213,-58.85500205019222,0.45140716726529717,0.8954678463033536,0.4490106912161988,-5.315680058638356,1.1294372858320259,0.7875893975656321,1.1553849019238636,0.7185347592061385,1.5844010158711426,0.6799416414047902,0.860789386309856,0.3877964937315671,0.20961905288925553,-357855287.29585236,1.5844010158711426,5,0.00015
0.22801344096660614,0.15992861986160278,0.2216339409351349,0.21358732879161835,0.1332913041114807,0.18935422599315643,0.8529961977642229,0.7918471131394192,1.2196182405957237,0.12885018880402963,2.628345763683319,4.247718250155449,13.826666355133057,7.589076234867206,-3.029067575931549,11.80945086479187,7242,1.2663790205527181,1.7302790006309932,0.21312756393035104,895,2.4463776231041003,3.1460783711521225,-4.465548503212531,25,7.162442960739136,7.411552506062558,-48.976830909482985,0.3855347563930636,0.9061515381920995,0.38825620968704566,-3.953837524203525,1.0954089296423763,0.8100365501544471,1.1012124147277635,0.7462608879951524,1.3266710642478539,0.7386073991519156,0.9268208750269453,0.37939168729874506,0.713191326318678,-2290486341.754486,1.3266710642478539,5,0.00015
0.21395425498485565,0.1480860561132431,0.20867303013801575,0.19893778860569,0.10917891561985016,0.1764882653951645,0.8678585789453328,0.7263384697470465,1.1563228654040443,0.13682275594285728,2.590349385142324,4.235940535068512,10.74192190170288,5.324240623142615,-2.846121609210968,11.786837339401245,7242,1.2808291112471808,1.7434552832446653,0.2010976767478836,895,2.514416768179176,3.1262222250075196,-4.3967757354617385,25,6.921563514769077,7.02614432030026,-43.9142825284672,0.3758912432250875,0.9085394250704572,0.3213180037417613,-2.599891428233401,0.9983517070033311,0.8363457908707153,0.9962603639874569,0.7658733221645525,1.2402793610801197,0.7580430065329988,0.792762311121188,0.5288975351279694,0.12191077551346347,-157135327.6308597,1.2402793610801197,5,0.00015
0.1987358033657074,0.13864748179912567,0.1985185742378235,0.1855149269104004,0.11139578372240067,0.17504481971263885,0.8738348004414327,0.6967420573403528,1.1298724430986076,-0.2893945131672993,2.4597344756126387,4.285154138803482,12.985769748687744,11.890386961554103,-2.232312560081482,11.444095849990845,7242,1.4064049825234233,1.9285468586038208,0.022464699768201868,895,2.9230093371018366,3.535087074470137,-5.900728005308765,25,7.358282002583146,7.53728007225723,-50.68679945163391,0.36747593490534636,0.9246486326071057,0.32297817785544314,-2.467281544215981,0.934260156788763,0.8479115236530399,0.9884851127688159,0.7681170016857364,1.2351347265174566,0.7499133674091811,0.5823279226834329,0.6640967337271484,0.36375021848255173,-659814356.0826912,1.2351347265174566,5,0.00015
0.1831440031528473,0.13207599520683289,0.19166108965873718,0.17053964734077454,0.11617492884397507,0.17114129662513733,0.8701442366511963,0.8216667920646391,1.1462787512231518,0.4406540689290472,2.457465952634811,4.064642738103867,10.608514308929443,1.3951887884380767,-1.4812088012695312,12.188493728637695,7242,1.1809472348901744,1.5923031793600808,0.3336175010006014,895,2.0453739940932842,2.661649368721763,-2.9119776536177175,25,6.03053859949112,6.199266056196218,-33.964786867553194,0.637499438089614,0.8594104592040621,0.39637114076428476,-3.985192794015414,0.9388761336606188,0.8547946310583344,1.0138215804797233,0.7707166228899399,1.2131436014222858,0.7841875606321572,0.6966149627970892,0.6286740286271806,0.1892299916588617,-186268960.18532023,1.2131436014222858,5,0.00015
0.1677365005016327,0.12883909046649933,0.18652722239494324,0.15510115027427673,0.10749731212854385,0.1642414927482605,0.8883053606464923,0.6774999484925607,1.0631040978888686,-0.3126510281831389,2.2916337549686423,4.000545089356602,10.859194278717041,17.411705821628555,-2.3579654693603516,12.404056072235107,7242,1.3022724671562649,1.7551375601762884,0.19035548355175158,895,2.652105033207768,3.1489036521715237,-4.475369392716292,25,6.4247576180100445,6.636305238261999,-39.068495963430586,0.3874447913648023,0.917245415721858,0.4613056152767454,-5.344437432900021,0.9149757024782108,0.8576820810617285,0.9555272473264725,0.7915990572698273,1.0816146326525191,0.8082339735874866,0.541453758697452,0.7166464360468294,0.3266066132742945,-530324269.11883885,1.0816146326525191,5,0.00015
0.15212054550647736,0.12134241312742233,0.17795206606388092,0.13926799595355988,0.09663000702857971,0.15149112045764923,0.9040580789545836,0.6166242418075449,0.9852894489985629,0.1635022324103776,2.1719114065170277,3.6991780638694767,10.052554607391357,5.474395470328776,-1.7100486755371094,12.595173358917236,7242,1.0879923833471878,1.5094652622856346,0.4011496548972384,895,1.9568723115721436,2.5848999261596686,-2.689624309103624,25,6.411276692450047,6.64670968220899,-39.194233766956394,0.36912621371074145,0.9271445854772113,0.25133884134773493,-1.222561131686732,0.7749747017438606,0.8948917321957005,0.9009307551911999,0.8184099104919954,1.0182876755590482,0.8138561681425104,0.48713461666002006,0.7644120695891092,0.2069635097101364,-221187039.27130368,1.0182876755590482,5,0.00015
0.13736288249492645,0.11360543221235275,0.16869786381721497,0.12528586387634277,0.08876499533653259,0.1419593095779419,0.9146993771600074,0.5714605487919199,0.9290428135036342,0.12559856755918924,2.015778577327727,3.5282239818573005,10.104404926300049,5.943629367785529,-2.053590774536133,14.064545631408691,7242,1.0619742821222076,1.460564367425449,0.43932207078349095,895,1.644476285597632,2.2891595459491594,-1.8936553536701113,25,5.411588999032975,5.923441409789304,-30.922620017257508,0.30597234822818015,0.9382615999942833,0.283381756319263,-1.720515374777595,0.7845140685013902,0.8999284399509804,0.8204848109584545,0.846070132784728,0.986535853870303,0.8310787235635995,0.437840384049344,0.8205165971385706,0.1117368124343637,-69744179.0348608,0.986535853870303,5,0.00015
0.12461091578006744,0.11036209017038345,0.16248279809951782,0.11379832029342651,0.09173420071601868,0.13737748563289642,0.9186958046018066,0.5987150497683299,0.9070184165226358,-0.23025036907774446,1.8412632100284068,3.3424079272150995,10.430013179779053,18.97581881315106,-1.855752944946289,12.513251066207886,7242,1.0551183557250967,1.4905267266006523,0.41608236210838023,895,1.7423820246448063,2.4723540197942597,-2.3753280993778216,25,6.293757241070271,6.625470777933704,-38.93777076594812,0.418136671587554,0.922021050077292,0.2776354695275536,-1.6974408242121428,0.7166455568223732,0.9122810613884305,0.8216792468204699,0.8430983692568772,0.9167524648244765,0.8568652374138754,0.43206159713765224,0.8372042092383418,0.3061792670447413,-442910268.9811939,0.9167524648244765,5,0.00015
0.11304181069135666,0.10502777993679047,0.15565411746501923,0.10467349737882614,0.09768623113632202,0.13860315084457397,0.9070848401077745,0.7031362576631741,0.9696230173032236,-0.333571940747289,1.9725320100784298,3.31026548922062,10.622424602508545,41.20499264866894,-2.9956531524658203,14.133682250976562,7242,1.0260147329555978,1.4093104894979485,0.4779820617200501,895,1.5486265527235354,2.1185725614115136,-1.4784568668240552,25,4.836063394546509,5.302834815292469,-24.58388723060287,0.7030808121354796,0.8166039511238187,0.24134997089412644,-1.0909437994539637,0.7165865089679625,0.9124191880674896,0.7185197278794179,0.8789350078330125,0.8857353141663363,0.8657169034241349,0.5100051120384052,0.7404679803825949,0.2543581655422561,-381361867.94722974,0.8857353141663363,5,0.00015
0.1028333306312561,0.10010615736246109,0.14959824085235596,0.09400877356529236,0.08498968183994293,0.12673795223236084,0.9280047412810682,0.5900756251084528,0.853515820489011,-0.2674140888763515,1.7083882696926582,3.1383561694622046,10.671578884124756,31.745237275940813,-1.5585613250732422,13.232773780822754,7242,0.9660369958836154,1.3432570622368256,0.5257685812789197,895,1.4971913430532804,2.0703593754943608,-1.3669340287241014,25,5.200925574302674,5.491619915540032,-26.437925774240956,0.5059987995150906,0.9040754224955713,0.2896055845296763,-1.8648955289882694,0.6655847522479956,0.9233190576861647,0.680543091664511,0.8846098583310624,0.8103817659460664,0.8805589772557689,0.4276800018557858,0.8197250274375214,0.27396095210463145,-355299122.8779462,0.8103817659460664,5,0.00015
0.09392856806516647,0.09718818217515945,0.1448129415512085,0.08569488674402237,0.0830295979976654,0.12183161824941635,0.9355788881015938,0.5334637623924741,0.8073720957262913,-0.17964791474205252,1.6160797715187072,2.973687925934792,10.808231830596924,13.757937873431977,-1.5193161964416504,13.697196960449219,7242,0.8804262165365234,1.2687073032260845,0.5769468452279585,895,1.4355820368850531,2.0351287177380524,-1.2870646645407309,25,5.061750894784927,5.4594413388565215,-26.11731849914794,0.37548190999893005,0.9321360849245932,0.2210100342955992,-0.9388103669698447,0.620310276232708,0.9324927339290915,0.6781396050935456,0.893758916524303,0.7798251970712027,0.88711304921352,0.6179139123918871,0.7182823199122006,0.3720211169380728,-651815795.3142443,0.7798251970712027,5,0.00015
0.08637899905443192,0.0957854762673378,0.14179928600788116,0.07814720273017883,0.07806650549173355,0.11554480344057083,0.9407271377122264,0.5175602305981103,0.7744396446788943,0.17512036316004712,1.5693646669387809,2.802302921414376,10.474032878875732,3.9478211906028093,-1.2080597877502441,13.930705070495605,7242,0.8163609205254084,1.1603321312478065,0.6461357448087145,895,1.243640728761031,1.7867984160243324,-0.7629735487904803,25,4.494462475776673,4.938683167150347,-21.19078498953626,0.38795930736832024,0.9289192014315438,0.1966596669604329,-0.4115469999964536,0.633434822541072,0.930653530970883,0.6685433691184824,0.9017882519756752,0.7506735651193651,0.9011302742488907,0.3663255914191322,0.8865377039318516,0.21343381703327305,-225325766.71559608,0.7506735651193651,5,0.00015
0.07936900854110718,0.09222149103879929,0.1373184323310852,0.07355712354183197,0.08694923669099808,0.12194723635911942,0.9399639265801173,0.5066250622874329,0.7794096294876914,-0.2524935233055268,1.55571664571762,2.90093627512455,10.774835109710693,17.83401632933963,-1.5802513360977173,12.800707817077637,7242,0.8523978126123086,1.2250421622984993,0.6055661938121089,895,1.5358474607262032,2.040822221721452,-1.2998792114577857,25,5.056052758693695,5.352078750461119,-25.06125491520288,0.28618066977303463,0.9484274665416274,0.5199721320243057,-6.0497915307199825,0.6371668054764995,0.9312097534494725,0.7551936819186781,0.8851789652659181,0.7556602395145708,0.9013551776378079,0.4564250423090353,0.8357983963783281,0.5934534971999037,-1607113081.2848496,0.7556602395145708,5,0.00015
