NC,Inertia
1.0,36234.86314714665
2.0,24696.61907324389
3.0,17484.679806087595
4.0,13639.835408319339
5.0,11629.351857153899
6.0,10479.248261717858
7.0,9779.045133660895
8.0,8630.334654039465
9.0,8134.0580883984285
10.0,7453.473223821037
11.0,6106.526217286747
12.0,5811.922190207405
15.0,5020.125906723601
18.0,4232.516786590456
21.0,3608.88289014017
25.0,3224.695467465042
30.0,2774.4583886592804
40.0,2145.932858097823
50.0,1797.0051388978297
