r,tangential,normal
0.0161291820732,-32.23117073252265,93.89858741441807
0.0483871518443,-66.71389222044354,107.77922276877901
0.0806617450107,-114.32040536890722,129.5014682286464
0.113036979787,-140.6029989820585,121.04979896590962
0.145479197198,-110.01190578075251,271.4742203062664
0.177933705604,268.09722601634195,907.0738193714762
0.210363633223,507.98778736526657,1241.2867834569693
0.242636392805,650.2397354395447,1629.5295480440047
0.274795814731,677.6344081497732,1894.4916128381062
0.306967502716,669.7465018962613,2094.478770943634
0.339156665901,657.0820447100324,2282.177944289974
0.371357111483,651.1928926338849,2489.3761331015294
0.403564891943,660.7343073423414,2756.4564552726006
0.43577944958,695.3580365556284,3135.445552709795
0.468000576676,704.2895994860943,3422.570731946262
0.500226089936,699.5548011889031,3651.6730483885417
0.532456317764,711.1300976984435,3966.5030166885854
0.564691011578,735.2791184626458,4359.6095903062505
0.596927748924,758.5344614548729,4759.809439324839
0.629166917228,775.1966382741014,5128.224402861875
0.661408987133,781.5615548247494,5419.887303655567
0.693652862957,764.2389850952252,5486.968765177656
0.725897499348,766.0846312775928,5690.540769059325
0.758143513154,776.3817830946091,5968.323901835023
0.790391559697,783.119909233448,6209.14893341037
0.822639877007,783.1114546728095,6389.502951146489
0.854889191229,770.2065686746614,6461.022301813148
0.887139986266,734.9651245995983,6338.136754824835
0.919390257298,656.558168278896,5835.4775356487
0.951634927232,480.57216026797425,4449.025276480088
0.983876963719,199.41332679175957,2051.5117619899834
