root_distance,alpha_mean
0.0161291820732,69.95388334388358
0.0483871518443,44.53635476794499
0.0806617450107,34.815180849623346
0.113036979787,26.980105978961596
0.145479197198,20.85577268921911
0.177933705604,16.133726051318106
0.210363633223,12.88050060248237
0.242636392805,10.951590658046282
0.274795814731,9.265834050594338
0.306967502716,7.8924227703821
0.339156665901,6.797238574812684
0.371357111483,5.92904336115187
0.403564891943,5.298361815633805
0.43577944958,4.852354379937341
0.468000576676,4.556548426050996
0.500226089936,4.389899401776582
0.532456317764,4.3009833215681414
0.564691011578,4.2793745379322
0.596927748924,4.3344997975235025
0.629166917228,4.460018859946054
0.661408987133,4.623178142141864
0.693652862957,4.822850721763281
0.725897499348,5.003076122472004
0.758143513154,5.153683594487243
0.790391559697,5.33466910582167
0.822639877007,5.5536357504250775
0.854889191229,5.799849792957537
0.887139986266,6.071842498571836
0.919390257298,6.355473408053618
0.951634927232,6.603247774178696
0.983876963719,6.715475411846236
