time,Cp
0.04,0.412774324357551
0.08,0.6845893490416326
0.12,0.6755372033273469
0.16,0.6675253547999999
0.2,0.6603818108742857
0.24,0.6543000322334693
0.28,0.649368442197551
0.32,0.645475337032653
0.36,0.6425335518546939
0.4,0.6404615982318367
0.44,0.6392425572644898
0.48,0.6387261239322448
0.52,0.6389415013069387
0.56,0.6393992730538776
0.6,0.6404948311363265
0.64,0.6416881898734693
0.68,0.6431938860016326
0.72,0.6448721581444897
0.76,0.6466166214457142
0.8,0.6483998472497958
0.84,0.6503228559216326
0.88,0.6522834315346938
0.92,0.6541496111771429
0.96,0.6560382695893877
1.0,0.6579973758326529
1.04,0.6598033959273468
1.08,0.6618047458955102
1.12,0.6635208584840816
1.16,0.6654087109640816
1.2,0.6671391885208163
1.24,0.6688994914563265
1.28,0.6705828015934693
1.32,0.6722267408081631
1.36,0.6737746021730612
1.4,0.675290429870204
1.44,0.6767031606138775
1.48,0.6780249040195918
1.52,0.6792092549387755
1.56,0.6802655446889795
1.6,0.6810893448971428
1.64,0.6818345646865306
1.68,0.6821786363893877
1.72,0.68231274428
1.76,0.6821014914555102
1.8,0.6815007815444898
1.84,0.6804884139779591
1.88,0.6789343860089796
1.92,0.676872271157551
1.96,0.6744973722546938
2.0,0.6715143077518367
2.04,0.6681105888563265
2.08,0.664375036002449
2.12,0.6603631205706122
2.16,0.6561581285297959
2.2,0.6520066201387755
2.24,0.6477213514963265
2.28,0.6438712297820408
2.32,0.6401912887975509
2.36,0.6368889029877551
2.4,0.6340177152661224
2.44,0.6315913904106122
2.48,0.6296538302057142
2.52,0.6282608205175509
2.56,0.6271752346832653
2.6,0.6264378761387754
2.64,0.6260777948808163
2.68,0.6259601780563265
2.72,0.626181815275102
2.76,0.6263638470489795
2.8,0.6269514247322449
2.84,0.6274165264922448
2.88,0.6280522200620408
2.92,0.6287798699510204
2.96,0.6294590094906122
3.0,0.6301727308204081
3.04,0.6309301976897959
3.08,0.6316797754024489
3.12,0.6323937496253061
3.16,0.6330388201673469
3.2,0.6337831209632652
3.24,0.6343630612473469
3.28,0.6352021402326531
3.32,0.6356222200334694
3.36,0.6362990705322449
3.4,0.6368259365657143
3.44,0.6373766731289795
