r,f
0.016336849446430098, -0.0020669514427687262
0.02941330311219597, -0.003981344259436846
0.04140876994159181, -0.005897480603260397
0.05341295440676487, -0.007974893208961732
0.06326388283497512, -0.010217069130851717
0.07310609362740825, -0.01229796879086393
0.08829221515125098, -0.013241216981954495
0.10670386191264927, -0.013856682067823211
0.11849882311917005, -0.012063464388457843
0.1281230930171737, -0.01011245750152559
0.1420277220817714, -0.007348095196582678
0.14406764885363094, -0.005086740475982915
0.14499171824601165, -0.0021820242350274735
0.14485223607357683, 0.0003983959550170103
0.1479208438671432, 0.003629151774038884
0.15104175747537257, 0.005892250021794089
0.15199197977508488, 0.008313137477116213
0.1529160491674657, 0.011217853718071661
0.15494725830354794, 0.013640484700549215
0.15694359689652163, 0.016708220730537893
0.15896608839682674, 0.01929212797489321
0.15990759306076197, 0.021874291692093116
0.16300235376165992, 0.024621218725481668
0.16609711446255784, 0.027368145758870203
0.16813704123441725, 0.029629500479469984
0.167971406154651, 0.03269374945514777
0.1710487315839944, 0.035763229012291876
0.1709354023188909, 0.03785982041670301
0.17511114985615892, 0.04060849097724698
0.17714235899224146, 0.04303112195972454
0.17915613285676898, 0.045776305465957644
0.18008891988492715, 0.048519745445035324
0.1831836805858252, 0.051266672478423855
0.1852148897219077, 0.05368930346090142
0.18613895911428807, 0.056594019701856874
0.18815273297881596, 0.05933920320808998
0.19124749367971403, 0.06208613024147854
0.19327870281579654, 0.06450876122395607
0.19744573271728683, 0.06741870804637784
0.19838723738122208, 0.07000087176357775
0.20040101124575016, 0.07274605526981084
0.20568389852671976, 0.07501264057187694
0.21311132420887438, 0.07760526545200942
0.21946648069043712, 0.08003487054310875
0.22578676662889055, 0.08310958068171914
0.22895998605178308, 0.08440502135820767
0.23763403365007454, 0.08393514078981781
0.2571179496120651, 0.08348269549298236
0.2690698282625754, 0.08237294045854766
0.28215499956411816, 0.08029727138000176
0.29414174875773696, 0.078542411298056
0.30829918925987254, 0.07662976200854331
0.32243919449045416, 0.07503966524278617
0.34084212361607513, 0.07458547641879526
0.35706564379740174, 0.07445035306424899
0.3754337023799148, 0.0746412692877692
0.3937843256908728, 0.07515473803504491
0.40883968267805776, 0.07663063377212102
0.4228053351930959, 0.07826606224391948
0.437878127451835, 0.07941940545724004
0.4518873681457589, 0.08024845261964958
0.47138000174352707, 0.07963473106093628
0.488684508761224, 0.07950135123354549
0.5092319762880309, 0.07937320198762098
0.5243396390898786, 0.07988144015343042
0.539412431348618, 0.08103478336675096
0.555540057536396, 0.08267369889286028
0.5727661058320983, 0.08399180542236949
0.5900357423066863, 0.08450353064248978
0.607322814052829, 0.08469270333885452
0.6245837328916398, 0.08536570482085261
0.6418533693662279, 0.08587743004097292
0.659227617470142, 0.08445384011855987
0.6755034434661318, 0.08335105919274695
0.6907244355330832, 0.08176270595414528
0.7069741086217416, 0.08114375381396569
0.7253421672042543, 0.08133467003748586
0.7783192398221602, 0.08125882660622444
0.7956150292040794, 0.08128672304071138
0.813965652515038, 0.08180019178798713
0.8312527242611801, 0.08198936448435187
0.8506756167727314, 0.08266585302066083
0.8668293958678409, 0.08382093976113679
0.8819021881265797, 0.08497428297445736
0.899163106965391, 0.08564728445645545
0.9174875773690176, 0.08664458198936449
0.9240955452881177, 0.08439717548600824
0.931819370586697, 0.08150640746229626
0.9395083253421671, 0.0792607444860954
0.9450614593322288, 0.07652776566995034
0.9516694272513293, 0.07428035916659406
0.9529073315316888, 0.07137912997994947
0.9552000697410863, 0.06896347310609365
0.9585825124226309, 0.06638828349751551
0.9597942637956587, 0.06397088309650427
0.9632028593845349, 0.060911864702292776
0.9665853020660794, 0.05833667509371463
0.9688954755470317, 0.05559846569610325
0.9712056490279835, 0.05286025629849188
0.9745880917095283, 0.050285066689913706
0.9758172783541105, 0.047545113765146925
0.9791997210356554, 0.04496992415656879
0.9814924592450526, 0.042554267282712936
0.984901054833929, 0.039495248888501464
0.9872025106791037, 0.036918315752767876
0.9873594281230932, 0.03401534303896787
0.9907505884404151, 0.031278877168511944
0.9930520442855897, 0.02870194403277834
0.99641705169558, 0.026449306947955744
0.9954842646674222, 0.02370586696887806
0.9977770028768196, 0.02129021009502225
