r,f
0.015309011618446323, 0.017453705210401307
0.032707390894002035, 0.018755491912650052
0.051186253132424274, 0.018866143782341208
0.06749113157809096, 0.018963777785009878
0.08596999381651313, 0.019074429654701033
0.10335535522504634, 0.017980928824812017
0.12184723533049108, 0.020486868226641003
0.1338431997917141, 0.027744329091678385
0.1458977446545384, 0.04578058385133595
0.15247827643440623, 0.05659843134702381
0.15909135288183027, 0.07340449767305629
0.16462394636638789, 0.09140169883164646
0.17235005044423474, 0.1130048491554659
0.19981124092817393, 0.16586389820027994
0.18332411234419235, 0.1322322387476812
0.19430468317766134, 0.1526572721059654
0.220607283496599, 0.19233573079051003
0.23482930321866752, 0.20918735965112129
0.24684479448042437, 0.22003775181436525
0.26429524522407, 0.2309206886451655
0.28174569596771565, 0.24180362547596582
0.2980831190809386, 0.24788947830897903
0.3155205519575617, 0.25637712760764153
0.3275165164187847, 0.2636345884726788
0.3449669671624303, 0.27451752530347895
0.3613239170761871, 0.28419630943469926
0.37443290916783273, 0.2962508542975233
0.38971588505223415, 0.30831841702737006
0.40065740228463564, 0.3215575877892407
0.413785921176815, 0.3372050639502718
0.4247339473427278, 0.3516418784782114
0.4367754743385296, 0.3672828457057312
0.4477169915709309, 0.38052201646760186
0.4597585185667328, 0.3961629836951216
0.47395450255475646, 0.4082240374914571
0.48706349464640214, 0.4202785823542813
0.5023529794643148, 0.43354378885019695
0.5154684804894717, 0.44679597747909006
0.5264165066553843, 0.4612327920070296
0.5384580336511862, 0.47687375923454955
0.5483190679207208, 0.4913040648289777
0.5592736030201452, 0.5069385231229863
0.5713216389494583, 0.5237771341165749
0.5801086991896378, 0.54059621830963
0.5899697334591727, 0.5550265239040584
0.6030982523513523, 0.5706740000650894
0.614046278517265, 0.5851108145930289
0.6271813063429557, 0.6019559345201289
0.6359553487161126, 0.6163797311810462
0.649077358674781, 0.6308295635760082
0.6643342988251376, 0.6381065512415792
0.6817652227682495, 0.6453965567741727
0.6894002017769385, 0.650232694373027
0.704657141927295, 0.6575096820385979
0.7144726136622513, 0.6635564812705438
0.7264815959904969, 0.673209229667719
0.7406840889120317, 0.6864679272301235
0.7527125980408108, 0.6997136069255053
0.7658346079994793, 0.7141634393204672
0.777856608194747, 0.7262114752497804
0.7898981351905491, 0.7418524424773002
0.8051876200084613, 0.7551176489732156
0.8172161291372406, 0.7683633286685976
0.8303511569629313, 0.7852084485956976
0.8423731571581998, 0.7972564845250105
0.852227682494223, 0.81048914635337
0.8642692094900251, 0.8261301135808896
0.8763042275523157, 0.8405734370423407
0.8883457545481172, 0.8562144042698604
0.9014547466397629, 0.8682689491326848
0.9188726527158524, 0.8731636671331404
0.9308490903765414, 0.8768281966999709
0.9350798971588502, 0.855296644644775
0.9414911966674256, 0.8349757542226706
0.9468089953461126, 0.8134507111009863
0.9510528199954433, 0.7943144465779282
0.9542161616819083, 0.7763693168874284
0.9584664952647509, 0.758430696130439
0.9637908028769483, 0.7381032967748234
0.9636801510072577, 0.7177433527516515
0.965749991863833, 0.6985940703615712
0.9667393497575423, 0.6806359228040487
0.9677156897842284, 0.660282487714388
0.9697855306408046, 0.6411332053243078
0.9707748885345135, 0.6231750577667848
0.9728317115240667, 0.6016304878445665
0.9748950434471312, 0.5812835616884174
0.9758844013408401, 0.5633254141308945
0.9768607413675267, 0.5429719790412341
0.9789175643570801, 0.5214274091190159
0.9799134311843005, 0.5046669053275622
0.9809027890780091, 0.4867087577700393
0.9840531128974518, 0.4663683405474013
0.9850424707911608, 0.4484101929898786
0.9871058027142252, 0.4280632668337294
0.9880886516744231, 0.40890747551013784
0.9901519835974876, 0.3885605493539884
0.9922283333875743, 0.3706089107299769
0.9921241904513945, 0.35144661047287395
0.9952745142708369, 0.3311061932502358
0.9973378461939011, 0.3107592670940865
0.9971816317896312, 0.28201581670843223
0.9981059003482279, 0.2520812314902203
1.0023301981970254, 0.2293520356689556
1.002076349790087, 0.18264392879226732
