wind,cp
3.8712747307788624, 0.32222222222222224
3.9759579263711498, 0.3555555555555556
4.764337590783873, 0.4252525252525253
5.41430837298606, 0.4575757575757575
5.962267301110277, 0.4727272727272728
6.442941814842643, 0.4808080808080809
6.8736956340262125, 0.4868686868686868
7.3532014358460644, 0.4878787878787878
8.047917188413058, 0.49090909090909096
9.22147090742132, 0.49090909090909096
10.279322147090742, 0.49090909090909096
10.741965105601471, 0.48989898989898994
11.485766758494034, 0.48989898989898994
11.777610818933134, 0.4555555555555555
12.11837382085316, 0.4171717171717172
12.574672343267386, 0.37777777777777766
13.014108022372485, 0.33636363636363636
13.749561733032808, 0.28585858585858587
14.060272142916773, 0.2656565656565656

