wind,ct
3.848739495798319, 1.0074626865671639
4.453781512605041, 0.9514925373134325
5.0252100840336125, 0.9067164179104474
6.352941176470589, 0.8432835820895521
7.142857142857142, 0.805970149253731
7.8655462184873945, 0.7835820895522388
8.672268907563025, 0.7798507462686567
9.680672268907564, 0.7873134328358211
10.386554621848738, 0.7761194029850744
11.159663865546218, 0.7761194029850745
11.361344537815127, 0.7761194029850744
11.865546218487395, 0.5970149253731343
11.966386554621847, 0.5708955223880596
12.6890756302521, 0.4402985074626866
13.075630252100838, 0.39179104477611926
13.966386554621849, 0.31716417910447753
