NC,Inertia
1.0,12090.968613002437
2.0,5035.218504698561
3.0,2901.590124197829
4.0,2414.78036303479
5.0,1859.3373866840427
6.0,1682.737488237731
7.0,1538.0535529958952
8.0,1345.7515340974091
9.0,1210.3997662367299
10.0,1108.3860030657108
11.0,1057.2071292222274
12.0,975.8643449520789
15.0,788.5490890442497
18.0,693.8180932524199
21.0,610.2031460616457
25.0,534.4229185006762
30.0,474.68174153423155
40.0,379.3910470846905
50.0,310.4368064288809
