,Explained Variance Ratio
PC1,0.40265000001424794
PC2,0.2594106220185061
PC3,0.13826617059776636
PC4,0.08576285498069998
PC5,0.03949991618385193
PC6,0.025853486805077527
PC7,0.02112141043822666
PC8,0.01679551490564095
PC9,0.009914394294218252
PC10,0.0007256297617642362
