,Explained Variance Ratio
PC1,0.3452542224794597
PC2,0.2663973608179019
PC3,0.2202854666550816
PC4,0.05915683078750225
PC5,0.042017334848317926
PC6,0.028124603265884403
PC7,0.01655947343164257
PC8,0.013135929939599342
PC9,0.00862864284180774
PC10,0.00044013493280245573
