,Ux,Uy,Uz,Ut,Ur,p,k,nut
Ux,1.0,-0.1648051981183239,0.10290003046478889,0.7317190161439688,0.006336406111015351,0.2400614929511627,-0.5471858962358033,0.6053157585867147
Uy,-0.1648051981183239,1.0,-0.05617645715181488,-0.04250844668882269,-0.04324471475432311,-0.009617773032390949,-0.1888354842441082,-0.1845936109706309
Uz,0.10290003046478889,-0.05617645715181488,1.0,-0.012622640185940275,-0.12667962378549508,0.011485644660955733,-0.0701328052785592,-0.031100437653016507
Ut,0.7317190161439688,-0.04250844668882269,-0.012622640185940275,1.0,0.04039035892668195,0.4603924720386746,-0.41409536049171985,0.3130012228288047
Ur,0.006336406111015351,-0.04324471475432311,-0.12667962378549508,0.04039035892668195,1.0,-0.07042787534321705,0.24524794053160046,0.2148888115049106
p,0.2400614929511627,-0.009617773032390949,0.011485644660955733,0.4603924720386746,-0.07042787534321705,1.0,-0.20519558421460188,0.07269214570232392
k,-0.5471858962358033,-0.1888354842441082,-0.0701328052785592,-0.41409536049171985,0.24524794053160046,-0.20519558421460188,1.0,-0.19230467103404472
nut,0.6053157585867147,-0.1845936109706309,-0.031100437653016507,0.3130012228288047,0.2148888115049106,0.07269214570232392,-0.19230467103404472,1.0
