loss,mae,rmse,val_loss,val_mae,val_rmse,val_phys_r2,val_phys_mae,val_phys_rmse,val_phys_bias,val_phys_p95_ae,val_phys_p99_ae,val_phys_max_ae,val_negative_pred_pct,val_pred_min,val_pred_max,val_tail_ge_5_count,val_tail_ge_5_mae,val_tail_ge_5_rmse,val_tail_ge_5_r2,val_tail_ge_10_count,val_tail_ge_10_mae,val_tail_ge_10_rmse,val_tail_ge_10_r2,val_tail_ge_15_count,val_tail_ge_15_mae,val_tail_ge_15_rmse,val_tail_ge_15_r2,lr
0.9924111366271973,0.32890862226486206,0.5676054954528809,0.3506540358066559,0.14051182568073273,0.20085929334163666,0.8193043996221865,0.9323692020093236,1.3458840653108155,0.30697692696535556,2.9011967845261095,4.403156344890595,14.157832503318787,5.780961616667188,-2.4743423461914062,10.536240220069885,7088,1.353252721959868,1.836413625211124,0.1421759460199402,902,2.971141881241304,3.529495079220424,-5.885271599614319,25,7.7389240741729735,7.946362280914707,-48.84097886074991,0.00015
0.41808444261550903,0.1815849393606186,0.24354523420333862,0.3310341238975525,0.1256541907787323,0.18765778839588165,0.8443378685647105,0.8164693135545911,1.2491809381946888,-0.19979975343718628,2.704927635192871,4.478535640239715,14.389713644981384,18.121813119779773,-1.9629936218261719,11.32914924621582,7088,1.4547514319619559,1.9873785729685896,-0.004658385746062255,902,3.1370072807133726,3.7671421063381647,-6.843680973499584,25,7.884654626846314,8.089729793809646,-50.65565501991285,0.00015
0.3735187351703644,0.1584075689315796,0.2174617201089859,0.3205777406692505,0.12142303586006165,0.18097303807735443,0.8602452287473904,0.7667213281733605,1.1836333244784307,0.23175379303948343,2.6444239735603317,4.269604806900024,13.06537663936615,5.396189820752651,-1.7927951808087528,11.771136283874512,7088,1.3159424496507692,1.7707051447336217,0.2024650839321065,902,2.4483699085327184,3.0973945112078183,-4.3026011742590455,25,6.7226371002197265,6.930723705866948,-36.914646670955214,0.00015
0.35039082169532776,0.1461990475654602,0.2035697102546692,0.310389906167984,0.11800719797611237,0.1749875396490097,0.8687291101964496,0.7375903846339195,1.1471443663715017,-0.2077116006120564,2.5251040510833263,4.218479177951813,13.93201196193695,18.56289298338912,-1.7144886702299118,11.32175588607788,7088,1.3595898926529244,1.863702870702184,0.11649185896297154,902,2.8307855832669264,3.404307520624092,-5.4055066037792106,25,7.193054904937744,7.431402690581654,-42.5904579736603,0.00015
0.3333163261413574,0.1367870271205902,0.1936323046684265,0.29880639910697937,0.10694091767072678,0.1682385504245758,0.8768579147749481,0.7015407735400361,1.1110589799295194,0.22527654268995134,2.5385501928627487,4.1227923059463505,11.791613936424255,3.9446929646197644,-1.7738165850751102,12.29243516921997,7088,1.2608092630767636,1.7068366242183812,0.25896091718284675,902,2.2279653536886834,2.8784291377199263,-3.5793833356532527,25,6.255101451873779,6.475068909048643,-32.093189820728774,0.00015
0.31847065687179565,0.12906211614608765,0.18546003103256226,0.2860638499259949,0.10008867084980011,0.16104218363761902,0.887480398557471,0.6442158687314025,1.0620573154273143,-0.16390276829399486,2.3378652572631817,4.092719459533692,13.502555251121521,13.276191072043044,-1.4821414947509766,11.451167106628418,7088,1.2668311196562223,1.76557639471974,0.2070784250936335,902,2.657669477470368,3.2809130755615987,-4.949567053505664,25,7.151202716827393,7.396901977620247,-42.18665509403172,0.00015
0.3063962757587433,0.1249389797449112,0.1796806901693344,0.2843035161495209,0.11391822248697281,0.16346272826194763,0.8835105402667938,0.734909871084542,1.0806303920520628,-0.238584658796794,2.397247505187988,3.974544949531557,9.98962152004242,28.613883066912756,-1.3823497290723026,12.982481002807617,7088,1.2259982001229737,1.6458986492585046,0.3109299325975805,902,2.288527865953992,2.7509703820139304,-3.182806209757941,25,5.491388854980468,5.650160967723239,-24.198313940124507,0.00015
0.29187679290771484,0.11866644024848938,0.17216359078884125,0.27712783217430115,0.11718442291021347,0.16178588569164276,0.8898913163112183,0.7288221524181925,1.0506175411427543,0.3348892695586135,2.162977004051208,3.648638072013856,12.439300894737244,3.9540776425688993,-1.4388029570691288,12.861687660217285,7088,1.1837964961978,1.6281387911430978,0.32572034694199603,902,2.001422883434729,2.7765212770833485,-3.260866494147397,25,6.77820583820343,7.014698680875706,-37.8389859264696,0.00015
0.2790583074092865,0.11434829235076904,0.1658797711133957,0.24826423823833466,0.0887468159198761,0.14026272296905518,0.9143138031571035,0.5677635565877601,0.926806979606632,-0.020669514153477227,2.0052029132843,3.474003019332886,11.226191878318787,10.057246535489723,-1.6472764015197754,12.978959083557129,7088,1.1001781525624343,1.5145515616047662,0.4165208608759281,902,1.8362959445414946,2.4730283818320453,-2.380291209356739,25,6.067647628784179,6.314320202479702,-30.47045659285264,0.00015
0.2677510380744934,0.11023852229118347,0.1608477681875229,0.24066495895385742,0.09249410778284073,0.13801224529743195,0.9168555081670495,0.5876895598407217,0.9129575904692273,-0.20573958669371986,1.9588597297668442,3.5058426785469057,11.489129424095154,16.588982388087715,-0.9273495674133301,15.15831184387207,7088,1.0771979006421468,1.5194895536744168,0.412709947675039,902,1.979633353782731,2.5838410351526537,-2.690009609825233,25,6.099931111335755,6.41904171164862,-31.522972859183874,0.00015
0.2559216022491455,0.10601971298456192,0.15514574944972992,0.2268192619085312,0.08318259567022324,0.12923166155815125,0.9263459315843946,0.5389934383345918,0.8592751109252145,-0.03938694090597244,1.85421289205551,3.2377146434783937,10.063402533531189,6.997841524071699,-1.1437523365020752,13.954755783081055,7088,0.9852840466283969,1.3698586514833242,0.5226810010699969,902,1.6309001539356824,2.1580010111894157,-1.5739446434852398,25,5.201862468719482,5.399216799146443,-22.00972212316511,0.00015
0.24712114036083221,0.1040157750248909,0.1520663946866989,0.21835064888000488,0.08082398772239685,0.12581653892993927,0.9317351562400036,0.5125493869462238,0.8272416885120408,0.08018738967870141,1.7441162705421447,3.0453345513343812,11.3080552816391,5.730910000938468,-0.9694426055066288,14.230746269226074,7088,0.9532770086815623,1.3309131781278924,0.5494358244978175,902,1.6338543999618014,2.2309617433443396,-1.7509339361632263,25,5.5200514268875125,5.726046154882238,-24.879717410720716,0.00015
