NC,Inertia
1.0,7382.338159878147
2.0,3820.0027170507155
3.0,2643.0107425805136
4.0,2095.008584814797
5.0,1778.388998469578
6.0,1276.3229735240598
7.0,1098.243919392913
8.0,982.0627370831556
9.0,911.1091510707283
10.0,862.2072611396616
11.0,789.6187919854458
12.0,777.2607184011401
15.0,624.4902245143487
18.0,518.6115528800518
21.0,471.379123334798
25.0,405.31145109445174
30.0,349.90000754765674
40.0,279.79278427847976
50.0,233.61882389307152
