epoch,loss,mae,rmse,val_cluster_10_mae,val_cluster_10_r2,val_cluster_1_mae,val_cluster_1_r2,val_cluster_2_mae,val_cluster_2_r2,val_cluster_3_mae,val_cluster_3_r2,val_cluster_4_mae,val_cluster_4_r2,val_cluster_5_mae,val_cluster_5_r2,val_cluster_6_mae,val_cluster_6_r2,val_cluster_7_mae,val_cluster_7_r2,val_cluster_8_mae,val_cluster_8_r2,val_cluster_9_mae,val_cluster_9_r2,val_loss,val_mae,val_negative_pred_pct,val_phys_bias,val_phys_mae,val_phys_max_ae,val_phys_p95_ae,val_phys_p99_ae,val_phys_r2,val_phys_rmse,val_pred_max,val_pred_min,val_rmse,val_tail_ge_10_count,val_tail_ge_10_mae,val_tail_ge_10_r2,val_tail_ge_10_rmse,val_tail_ge_15_count,val_tail_ge_15_mae,val_tail_ge_15_r2,val_tail_ge_15_rmse,val_tail_ge_5_count,val_tail_ge_5_mae,val_tail_ge_5_r2,val_tail_ge_5_rmse,val_worst_cluster_id,val_worst_cluster_mae
0,0.7526860237121582,0.3068173825740814,0.47264745831489563,1.2968267300262994,0.6231394270092986,0.29371283624163963,-2.002366440469122,0.3382362212493497,-0.07586042408004512,0.35870336872599734,-1.081050933490502,0.3853932725217269,-0.16923344726318934,1.108579736767029,0.7413092801074543,0.46210237283556377,-0.2485661584524057,1.2849353527567142,0.4790573930579143,1.1632459594793438,0.5796913108070925,1.2470529329884643,0.7808283672037007,0.3073108494281769,0.12374535202980042,9.47539650264335,0.012270781971384684,0.8255526796230056,15.326868772506714,2.740785343572497,4.533650496006013,0.8365221360027187,1.272331931549458,10.844076752662659,-2.691317319869995,0.18699578940868378,853,3.3482259996864534,-7.062662481033485,4.013512264287916,25,8.7343998670578,-49.37060465451752,9.018986000449726,7074,1.419409888228714,-0.0312885933728666,1.9953578800325156,10,1.2968267300262994
1,0.3632281720638275,0.17299139499664307,0.23321834206581116,1.3955219156419247,0.5807127712622886,0.43165167353251627,-4.121060495846855,0.5243102937221569,-0.8350140622759403,0.6478925339395231,-3.7524549654879635,0.34495141685458897,0.08459117705251884,1.3189383486144095,0.6684069867175105,0.7055287584718473,-1.2586627788213036,1.3751182975032281,0.46000058433197843,1.3757871522910483,0.5398325380041263,1.3231671573991122,0.7601850839916707,0.320687860250473,0.14551177620887756,1.8487815559796041,0.6369624418022654,0.9845911194275997,13.921229124069214,2.9876794800162307,4.458979845494032,0.8099788881064374,1.371740234018992,11.996756553649902,-1.7893362045288086,0.20041048526763916,853,2.3002227441804073,-3.588210244839643,3.0276593481066936,25,7.060441174507141,-33.1885321538591,7.4303514889302145,7074,1.2787232779080373,0.22579688897160166,1.7288533245774118,10,1.3955219156419247
2,0.3301018476486206,0.15211591124534607,0.2095981240272522,1.0009804186931681,0.7270730435102248,0.20803387937007634,-0.8006079089846307,0.23807297956981033,0.4087750011184914,0.3147685686770695,-0.576578607187384,0.3655740425863638,-0.06924860152547807,0.9895581927422782,0.7767197110321608,0.3967629305797291,0.08803636852193908,1.1911252597663746,0.5651764692718997,1.0650358926067494,0.63003541306266,0.9708887081360444,0.8547366286956677,0.28389972448349,0.10709725320339203,13.016548315450308,-0.15997063736047476,0.7058949424781956,14.574898481369019,2.4823032760992647,4.336347155869007,0.8689098044708186,1.1393471100360848,11.144607543945312,-1.8357343673706055,0.1694563925266266,853,2.9929669146159514,-5.664852010151986,3.6490566849721953,25,7.586805353164673,-38.223793403143745,7.958732850888891,7074,1.3480198220023552,0.07148002908902373,1.8933300066339445,7,1.1911252597663746
3,0.3111063539981842,0.14041174948215485,0.1967335194349289,1.01035593144486,0.7398488323766019,0.19560944062816737,-0.43087776485618523,0.24311445777155727,0.4226838004957506,0.23334825973571346,-0.16867689613120596,0.39835856559777816,-0.2999466093625671,0.9631611940880855,0.7910650382680926,0.3623866180269916,0.2923007972754402,1.113698352348958,0.6106977222530581,0.9900000366440082,0.6718949596229347,0.9094407800895583,0.8637863367937545,0.2724915146827698,0.10239006578922272,10.12293928113367,-0.05227828645321061,0.6745672236469741,13.459359884262085,2.421935093402862,4.034329307079315,0.8799568047805204,1.0902842107395565,11.822583198547363,-1.8387137651443481,0.16212736070156097,853,2.709222193159368,-4.664972280693533,3.364218921520977,25,7.080590505599975,-32.919777570061285,7.4010890306733605,7074,1.2755442160912083,0.17442816751181722,1.7852873462873071,7,1.113698352348958
4,0.2956560254096985,0.13177812099456787,0.1873776614665985,0.9150895000693826,0.7638576412566684,0.2766569802448516,-1.1117670121579062,0.19894784494921394,0.49825510642940896,0.23242440284812393,-0.15793614236641607,0.32293105437462355,0.0922036585606939,0.9330762136752929,0.7936830715066101,0.46304849474271204,-0.04502523322431795,1.0806225865787373,0.6317906419539403,0.9430632233629216,0.6982282451502451,0.9269163450306732,0.860178440191564,0.26399531960487366,0.10082552582025528,12.328338599180405,-0.11803968541846198,0.6605845137054647,12.87338137626648,2.354362261295318,4.100032198429108,0.8854884669351134,1.0648674791048605,12.480159759521484,-1.8041110038757324,0.15893441438674927,853,2.5720271238159707,-4.169737076773526,3.213805448202003,25,6.625184078216552,-29.446825457433704,7.011971455239234,7074,1.2683068823143508,0.20164996152282033,1.7556072620321017,7,1.0806225865787373
5,0.2816188633441925,0.12508265674114227,0.1799193024635315,0.9511137526523874,0.7611076873267841,0.16509207487699953,-0.07175603934498254,0.1729157425695871,0.6274839458670719,0.1919025360478243,0.1076735698164274,0.34928856498822486,-0.028934861168314896,0.8987529835355663,0.8180069913476933,0.5659351526829389,-0.4410109866918539,1.0102280771901702,0.6725380789163673,0.9036696485892687,0.6998523846454703,0.773498293707219,0.8999042735912192,0.2506665289402008,0.09289468079805374,15.941439609597396,-0.21452286561307615,0.637066711014035,12.922433614730835,2.1951986789703315,3.9841764402389535,0.8922324409757462,1.0330348489161423,12.296955585479736,-1.7276206011883914,0.1513582319021225,853,2.4410427971803097,-3.9073034060395084,3.131171169966532,25,6.79845834761858,-30.981679064052067,7.186538575577868,7074,1.2104682353022882,0.23486625267688055,1.7186972106406668,7,1.0102280771901702
6,0.2657795548439026,0.11838850378990173,0.17098717391490936,0.7947042052796337,0.7885240615882924,0.1699317553014746,-0.017499856092215937,0.20421302022112064,0.5567814782664608,0.20120731972327993,0.001977703003229192,0.3043582499798799,0.24475653185050283,0.8782650108505914,0.836099890314756,0.34395531557989195,0.36923092600138396,0.987492668724411,0.6917711384782326,0.7914253476068752,0.771026848144102,0.7673055876634972,0.9137625861772002,0.23555296659469604,0.08848270028829575,8.421184346357181,0.0001056740752968753,0.5728610070980049,11.526777029037476,2.037558555603023,3.6362049987912184,0.9086170166277353,0.9512695945824413,12.731627941131592,-1.3864216799847782,0.14181669056415558,853,2.0755405420959345,-2.86269100775671,2.777987829977216,25,6.492455959916115,-28.455731466598895,6.896901708413179,7074,1.1362921260783279,0.34969716702413056,1.5844864015930118,7,0.987492668724411
7,0.25065284967422485,0.11243677139282227,0.16268141567707062,0.8158075919902128,0.8014454388958695,0.16662903217380612,-0.032060574712042156,0.18107995402238938,0.5872421221452766,0.19860245993398612,0.03575169333767092,0.31132565426259695,0.2296260123845315,0.7994949809602255,0.8662821098179374,0.3509678914759118,0.3124968712750936,0.9425008280880467,0.7058702977677651,0.7807481359367954,0.7898985803784451,0.669105375452118,0.927975511747402,0.22226721048355103,0.08336807042360306,5.840397910345043,0.004474043851029316,0.5532351970054813,10.883666515350342,1.945259833335876,3.5345311117172242,0.9165406553142184,0.9090932531090445,12.385193347930908,-1.3033018107526004,0.13407351076602936,853,1.8969005138448418,-2.238861544525752,2.5437917007677786,25,6.510523477494717,-27.525556045871074,6.787130350202049,7074,1.0369857447129753,0.44640371935882606,1.461932345898131,7,0.9425008280880467
8,0.2369859516620636,0.10720913857221603,0.1555199772119522,0.755709253539866,0.8282604062927323,0.16386633690916313,0.07186949165468581,0.18719751573724816,0.6043738602203221,0.19800939536542456,0.022032105087722242,0.3592275906577034,0.10479885952290524,0.7353985917972085,0.8850693378129652,0.3436470659124973,0.3801980652998638,0.8686922498742176,0.7497942586894873,0.697847631295188,0.8128388364617223,0.6945550704138093,0.933581184413609,0.20862385630607605,0.07816172391176224,3.644383270247443,0.11207419037432567,0.5222488723462886,10.85374903678894,1.7955606460571283,3.297139708697796,0.9268019997970651,0.8513743417729545,12.978895664215088,-1.204454421531409,0.1252133995294571,853,1.6771695133569406,-1.7815544170340476,2.357377504287646,25,6.370105949640274,-26.40458099039786,6.652436133225354,7074,0.9624725720389915,0.5167202276545557,1.3659349028600254,7,0.8686922498742176
9,0.22530943155288696,0.1029290035367012,0.15010561048984528,0.6988411846926931,0.8373890376151127,0.43746059317571895,-3.4192234342732792,0.3591075876483881,-0.0060944008380969805,0.39690330277119734,-1.260371597487191,0.3569999931626123,0.08203833418608919,0.7359337171823176,0.8880506139921003,0.2840413314912363,0.5183274291401931,0.8418791857663702,0.7612232489138906,0.7207380418485693,0.8079503002685828,0.5889753052546641,0.9421107663866104,0.2032526284456253,0.0868881568312645,6.706916507648512,0.07317087140727407,0.5641890883671887,12.449206829071045,1.7599339246749877,3.219659667015076,0.9251522990314536,0.8609148161197013,13.550090312957764,-1.1450294256210327,0.12702801823616028,853,1.8343145515188872,-2.1890513515544483,2.524155527785953,25,6.351067710891366,-27.40081701319471,6.772274414600978,7074,0.9881767566928596,0.479877227353087,1.4170449537569512,7,0.8418791857663702
